Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2022,83,83,USNews,Stevens Institute of Technology ,Stevens Institute of Technology,NJ,private,63,63,3,48,94%,87%,88%,1,81%,249,141,35%,14%,12,12 to 1,41,1320,1480,67%,53%,125,14%
2022,93,93,USNews,Stony Brook--SUNY,Stony Brook University,,public,62,62,3.3,106,90%,71%,76%,5,78%,30,315,38%,25%,19,19 to 1,74,1230,1440,44%,49%,97,4%
2022,117,117,USNews,SUNY Col. of Envir. Sci. and Forestry,SUNY College of Environmental Science and Forestry,,public,59,59,2.6,121,78%,71%,77%,6,81%,113,157,58%,8%,14,14 to 1,137,1130,1300,31%,60%,81,14%
2022,59,59,USNews,Syracuse University ,Syracuse University,NY,private,68,68,3.5,65,91%,76%,83%,7,80%,127,62,54%,10%,15,15 to 1,107,1160,1370,33%,69%,74,10%
2022,103,103,USNews,Temple University ,Temple University,PA,public,60,60,3.1,117,89%,64%,75%,11,69%,132,157,40%,8%,13,13 to 1,154,1090,1280,36%,71%,147,5%
2022,299,299-391,USNews,Tennessee State University,Tennessee State University,,public,,,2.3,,63%,39%,31%,,29%,202,,,,,,,16,20,,57%,,
2022,277,277,USNews,Tennessee Tech Univ.,Tennessee Tech University,,public,43,43,2.3,274,77%,61%,57%,-4,48%,153,255,52%,9%,18,18 to 1,168,21,28,31%,80%,332,6%
2022,299,299-391,USNews,Texas A&M Univ.--Kingsville,Texas A&M University--Kingsville,,public,,,2.2,,68%,42%,45%,,40%,100,,36%,4%,,,,920,1090,16%,88%,,2%
2022,68,68,USNews,Texas A&M University,Texas A&M University,,public,66,66,3.7,65,93%,80%,83%,3,73%,192,315,26%,28%,19,19 to 1,64,1160,1380,66%,63%,97,16%
2022,299,299-391,USNews,Texas A&M University--Commerce,Texas A&M University--Commerce,,public,,,2.3,,65%,45%,43%,,34%,100,,38%,7%,,,,955,1150,19%,32%,,2%
2022,299,299-391,USNews,Texas A&M University--Corpus Christi,Texas A&M University--Corpus Christi,,public,,,2.3,,58%,49%,37%,,33%,232,,37%,12%,,,,1000,1180,16%,90%,,2%
2022,83,83,USNews,Texas Christian University,Texas Christian University,,private,63,63,3,65,92%,80%,82%,2,74%,372,87,43%,4%,13,13 to 1,100,25,31,39%,48%,89,14%
2022,299,299-391,USNews,Texas Southern University,Texas Southern University,,public,,,2.1,,54%,33%,19%,,17%,297,,45%,6%,,,,890,1030,9%,66%,,5%
2022,299,299-391,USNews,Texas State University,Texas State University,,public,,,2.3,,77%,54%,55%,,49%,132,,33%,15%,,,,1010,1180,11%,85%,,2%
2022,213,213,USNews,Texas Tech University,Texas Tech University,,public,48,48,3,204,86%,64%,63%,-1,57%,265,347,27%,28%,19,19 to 1,195,1070,1240,18%,70%,299,9%
2022,299,299-391,USNews,Texas Wesleyan University,Texas Wesleyan University,,private,,,2.2,,56%,51%,34%,,45%,100,,70%,0.20%,,,,1008,1160,,19%,,5%
2022,299,299-391,USNews,Texas Woman's University,Texas Woman's University,,public,,,2.4,,75%,47%,48%,,43%,82,,44%,11%,,,,940,1140,18%,94%,,1%
2022,136,136,USNews,The Catholic University of America ,The Catholic University of America,DC,private,56,56,2.9,117,87%,73%,74%,1,68%,375,97,64%,5%,11,11 to 1,137,1130,1325,28%,82%,97,9%
2022,239,239,USNews,The College of St. Scholastica ,The College of St. Scholastica,MN,private,46,46,1.9,163,81%,64%,69%,5,60%,100,268,64%,1%,14,14 to 1,256,22,27,21%,73%,267,4%
2022,136,136,USNews,The New School ,The New School,NY,private,56,56,2.9,163,79%,66%,68%,2,62%,179,62,78%,1%,9,9 to 1,298,1140,1360,17%,68%,103,1%
2022,148,148,USNews,Thomas Jefferson University ,Thomas Jefferson University,PA,private,55,55,2.5,163,83%,73%,70%,-3,64%,153,107,63%,0%,13,13 to 1,185,1090,1270,27%,70%,32,2%
2022,213,213,USNews,Touro College ,Touro University,NY,private,48,48,1.8,253,84%,46%,63%,17,47%,297,75,87%,0%,11,11 to 1,238,1120,1360,,76%,163,9%
2022,196,196,USNews,Towson University ,Towson University,MD,public,50,50,2.6,130,85%,63%,73%,10,73%,153,324,30%,3%,16,16 to 1,256,1040,1200,14%,79%,372,3%
2022,299,299-391,USNews,Trevecca Nazarene University ,Trevecca Nazarene University,TN,private,,,1.8,,75%,59%,55%,,51%,139,,76%,4%,,,,20,25,18%,63%,,4%
2022,299,299-391,USNews,Trinity International University ,Trinity International University,IL,private,,,1.9,,63%,55%,52%,,,26,,,,,,,930,1160,,60%,,
2022,28,28,USNews,Tufts University ,Tufts University,MA,private,78,78,3.8,17,95%,96%,94%,-2,93%,275,37,66%,7%,9,9 to 1,20,1380,1530,84%,16%,32,20%
2022,42,42,USNews,Tulane University ,Tulane University,LA,private,73,73,3.6,54,93%,88%,86%,-2,78%,380,25,57%,8%,8,8 to 1,37,30,33,63%,11%,25,16%
