Year,USNRank,OrgRank,Ranking_Agency_USN,InstituteName,Master_col,State,PublicPrivate,OverAllScores,OverallScore,PeerAssessmentScore,GraduationRetentionRank,AverageFirstYearRetentionRate,PredictedGraduationRate,ActualGraduationRate,OverUnderperformance,PellGradrate,SocialMobilityRank,FacultyResourcesRank,PercentofClassesUnder20,PercentofClassesof50orMoreStudents,StudentFacultyRatio,Student_Faculty_Ratio,SelectivityRank,SATACT25thPercentile,SATACT75thPercentile,FirstYearStudentsTop10HSclass,AcceptanceRate,FinancialResourcesRank,AverageAlumniGivingRate
2023,10,10,USNews,Northwestern University,Northwestern University,IL,private,92,92,4.4,2,98%,95%,95%,,92%,303,6,76%,6%,6,6 to 1,5,1460,1560,95%,,7,28%
2023,219,219,USNews,Nova Southeastern University,Nova Southeastern University,FL,private,48,48,2.1,266,80%,64%,61%,-3,51%,123,100,63%,2%,17,17 to 1,190,1040,1310,21%,,132,3%
2023,263,263,USNews,Oakland City University,Oakland City University,IN,private,45,45,1.9,330,73%,47%,58%,11,57%,7,125,87%,0%,12,12 to 1,391,960,1180,9%,,399,3%
2023,331,#331-#440,USNews,Oakland University,Oakland University,MI,public,,Bottom 25%,2.2,300,76%,60%,56%,-4,49%,209,286,43%,8%,17,17 to 1,279,970,1230,17%,,358,3%
2023,182,182,USNews,Ohio University,Ohio University (Main campus),OH,public,52,52,2.9,200,81%,64%,67%,3,56%,313,300,38%,13%,17,17 to 1,152,22,27,22%,,226,3%
2023,234,234,USNews,Oklahoma City University,Oklahoma City University,OK,private,47,47,2.1,200,81%,74%,65%,-9,56%,353,61,80%,1%,10,10 to 1,177,22,29,,,198,4%
2023,182,182,USNews,Oklahoma State University,Oklahoma State University,OK,public,52,52,2.9,210,83%,68%,66%,-2,54%,313,216,45%,16%,18,18 to 1,203,20,27,28%,,198,8%
2023,299,299,USNews,Old Dominion University,Old Dominion University,VA,public,43,43,2.6,321,77%,53%,49%,-4,43%,140,300,39%,8%,17,17 to 1,336,1020,1220,10%,,323,3%
2023,331,#331-#440,USNews,Oral Roberts University,Oral Roberts University,OK,private,,Bottom 25%,1.8,280,81%,58%,59%,1,55%,132,346,52%,6%,16,16 to 1,251,19,27,21%,,334,4%
2023,151,151,USNews,Oregon State University,Oregon State University,OR,public,55,55,3.1,171,85%,67%,68%,1,59%,197,374,29%,23%,18,18 to 1,152,1120,1360,30%,,121,5%
2023,331,#331-#440,USNews,Our Lady of the Lake University,Our Lady of the Lake University,TX,private,,Bottom 25%,1.9,422,63%,41%,35%,-6,30%,132,100,72%,0%,10,10 to 1,401,890,1070,11%,,298,6%
2023,234,234,USNews,Pace University,Pace University,NY,private,47,47,2.6,289,76%,63%,59%,-4,54%,154,165,54%,4%,15,15 to 1,217,1120,1310,17%,,219,4%
2023,194,194,USNews,Pacific University,Pacific University,OR,private,51,51,2.5,192,81%,67%,71%,4,59%,186,182,61%,2%,10,10 to 1,233,19,27,,,167,5%
2023,331,#331-#440,USNews,Palm Beach Atlantic University,Palm Beach Atlantic University,FL,private,,Bottom 25%,1.9,289,75%,63%,61%,-2,52%,282,165,65%,0.40%,12,12 to 1,284,1030,1240,,,311,1%
2023,55,55,USNews,Pepperdine University,Pepperdine University,CA,private,69,69,3.5,57,90%,82%,83%,1,87%,228,38,71%,2%,13,13 to 1,79,1260,1440,45%,,55,7%
2023,263,263,USNews,Point Park University,Point Park University,PA,private,45,45,1.9,280,74%,55%,61%,6,51%,168,56,83%,0%,12,12 to 1,339,1025,1220,8%,,265,1%
2023,331,#331-#440,USNews,Pontifical Catholic University of Puerto Rico--Arecibo,Pontifical Catholic University of Puerto Rico--Arecibo,PR,private,,Bottom 25%,2,413,81%,33%,38%,5,,326,436,,,15,15 to 1,,,,,,344,
2023,317,317,USNews,Pontifical Catholic University of Puerto Rico--Ponce,Pontifical Catholic University of Puerto Rico--Ponce,PR,private,42,42,2.1,387,80%,25%,44%,19,,115,436,,,22,22 to 1,,,,,,435,
2023,285,285,USNews,Portland State University,Portland State University,OR,public,44,44,2.7,347,75%,52%,54%,2,51%,63,328,46%,8%,19,19 to 1,320,1000,1250,13%,,334,1%
2023,331,#331-#440,USNews,Prairie View A&M University,Prairie View A&M University,TX,public,,Bottom 25%,2.2,416,71%,38%,36%,-2,,154,400,,,17,17 to 1,408,870,1040,,,311,
2023,1,1,USNews,Princeton University,Princeton University,NJ,private,100,100,4.8,2,94%,93%,98%,5,96%,186,2,75%,10%,5,5 to 1,11,1460,1570,92%,,11,48%
2023,331,#331-#440,USNews,Purdue University Global,Purdue University Global,IN,public,,Bottom 25%,2.1,439,,36%,14%,-22,,437,428,,,28,28 to 1,,,,,,311,
2023,51,51,USNews,Purdue University--West Lafayette,Purdue University West Lafayette,IN,public,70,70,3.9,73,92%,78%,83%,5,76%,326,100,38%,20%,14,14 to 1,68,1190,1430,48%,,105,15%
2023,166,166,USNews,Quinnipiac University,Quinnipiac University,CT,private,54,54,2.7,110,87%,77%,80%,3,74%,372,146,51%,2%,12,12 to 1,211,1130,1310,21%,,198,3%
2023,331,#331-#440,USNews,Radford University ,Radford University ,VA,public,,Bottom 25%,2.3,316,71%,54%,54%,,48%,209,165,59%,5%,13,13 to 1,383,950,1150,8%,,344,2%
2023,299,299,USNews,Regent University,Regent University,VA,private,43,43,1.9,256,76%,53%,63%,10,61%,56,165,70%,1%,21,21 to 1,305,960,1230,12%,,417,1%
2023,250,250,USNews,Regis University,Regis University,CO,private,46,46,2.2,217,77%,63%,61%,-2,58%,250,247,66%,1%,10,10 to 1,203,1030,1270,41%,,286,3%
2023,51,51,USNews,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,NY,private,70,70,3.6,57,91%,87%,84%,-3,84%,282,25,54%,9%,13,13 to 1,43,1360,1520,55%,,70,9%
2023,15,15,USNews,Rice University,Rice University,TX,private,87,87,4.2,17,97%,95%,92%,-3,91%,303,12,70%,7%,6,6 to 1,11,1490,1570,92%,,24,28%
2023,194,194,USNews,Robert Morris University,Robert Morris University,PA,private,51,51,2.1,200,81%,62%,65%,3,69%,99,31,63%,1%,13,13 to 1,251,1040,1230,18%,,226,4%
2023,105,105,USNews,Rochester Institute of Technology,Rochester Institute of Technology,NY,private,60,60,3.4,144,88%,70%,71%,1,69%,105,182,49%,4%,13,13 to 1,67,1270,1450,43%,,141,5%
2023,331,#331-#440,USNews,Roosevelt University,Roosevelt University,IL,private,,Bottom 25%,2.1,393,70%,54%,38%,-16,29%,160,182,51%,1%,11,11 to 1,394,860,1120,,,121,2%
2023,194,194,USNews,Rowan University,Rowan University,NJ,public,51,51,2.5,161,83%,67%,69%,2,62%,209,247,49%,0.20%,17,17 to 1,242,1070,1280,18%,,198,2%
2023,219,219,USNews,Russell Sage College,Russell Sage College,NY,private,48,48,2.1,232,74%,50%,63%,13,61%,14,300,59%,0%,10,10 to 1,,920,1180,12%,,323,6%
2023,127,127,USNews,Rutgers University – Camden ,Rutgers University - Camden ,NJ,public,57,57,2.7,200,83%,52%,71%,19,65%,30,84,51%,8%,14,14 to 1,339,1040,1230,7%,,152,3%
2023,55,55,USNews,Rutgers University--New Brunswick,Rutgers University - New Brunswick,NJ,public,69,69,3.4,66,93%,71%,84%,13,81%,63,136,48%,13%,15,15 to 1,76,1240,1470,31%,,70,6%
2023,115,115,USNews,Rutgers University – Newark,Rutgers University - Newark,NJ,public,59,59,2.8,178,86%,51%,65%,14,62%,7,146,39%,11%,13,13 to 1,326,1030,1270,12%,,115,4%
2023,219,219,USNews,Sacred Heart University,Sacred Heart University,CT,private,48,48,2.4,124,85%,68%,73%,5,62%,412,355,35%,2%,14,14 to 1,,1140,1300,10%,,226,7%
2023,331,#331-#440,USNews,Saint Leo University,Saint Leo University,FL,private,,Bottom 25%,2,393,66%,49%,44%,-5,45%,46,182,47%,0%,16,16 to 1,,1040,1180,11%,,298,4%
2023,105,105,USNews,Saint Louis University,Saint Louis University,MO,private,60,60,3.1,92,90%,79%,80%,1,74%,353,216,40%,7%,9,9 to 1,79,25,31,39%,,95,7%
2023,299,299,USNews,Saint Mary's University of Minnesota,Saint Mary's University of Minnesota,MN,private,43,43,2.3,232,81%,63%,57%,-6,50%,228,247,62%,0.30%,18,18 to 1,233,22,28,,,406,6%
2023,263,263,USNews,Sam Houston State University,Sam Houston State University,TX,public,45,45,2.4,309,76%,52%,58%,6,56%,23,314,36%,10%,21,21 to 1,333,920,1120,33%,,388,5%
2023,127,127,USNews,Samford University,Samford University,AL,private,57,57,2.7,100,89%,77%,79%,2,70%,418,91,55%,3%,13,13 to 1,131,23,29,29%,,198,6%
2023,151,151,USNews,San Diego State University,San Diego State University,CA,public,55,55,3.1,110,89%,68%,78%,10,74%,99,420,32%,23%,25,25 to 1,166,1120,1330,24%,,399,4%
2023,234,234,USNews,San Francisco State University,San Francisco State University,CA,public,47,47,2.7,289,81%,49%,56%,7,,15,424,22%,12%,21,21 to 1,381,930,1130,,,399,1%
2023,55,55,USNews,Santa Clara University,Santa Clara University,CA,private,69,69,3.2,32,94%,86%,91%,5,93%,384,60,38%,0.20%,11,11 to 1,76,1290,1470,35%,,77,13%
2023,219,219,USNews,Seattle Pacific University,Seattle Pacific University,WA,private,48,48,2.4,200,80%,58%,66%,8,62%,250,300,57%,2%,13,13 to 1,320,1050,1300,,,187,5%
2023,137,137,USNews,Seattle University,Seattle University,WA,private,56,56,2.7,124,85%,77%,75%,-2,75%,228,70,62%,0.20%,11,11 to 1,152,1120,1330,16%,,152,5%
2023,137,137,USNews,Seton Hall University,Seton Hall University,NJ,private,56,56,3,153,83%,70%,72%,2,65%,228,286,46%,2%,15,15 to 1,140,1200,1370,22%,,152,8%
2023,299,299,USNews,Shenandoah University,Shenandoah University,VA,private,43,43,2,246,81%,64%,64%,,49%,282,84,71%,1%,10,10 to 1,233,1060,1260,32%,,198,3%
2023,151,151,USNews,Simmons University,Simmons University,MA,private,55,55,2.4,110,83%,71%,71%,,71%,82,247,82%,1%,9,9 to 1,233,1130,1360,32%,,105,10%
2023,331,#331-#440,USNews,South College,South College,TN,proprietary,,Bottom 25%,1.7,433,57%,46%,30%,-16,,438,417,,,18,18 to 1,,,,,,121,
2023,317,317,USNews,South Dakota State University,South Dakota State University,SD,public,42,42,2.6,280,79%,66%,59%,-7,51%,372,393,30%,19%,17,17 to 1,260,19,25,16%,,226,7%
2023,331,#331-#440,USNews,Southeastern Baptist Theological Seminary,Southeastern Baptist Theological Seminary,NC,private,,Bottom 25%,1.8,347,78%,60%,50%,-10,,,424,,,10,10 to 1,,,,,,431,
2023,331,#331-#440,USNews,Southeastern University,Southeastern University,FL,private,,Bottom 25%,1.9,389,67%,45%,51%,6,47%,105,388,56%,3%,27,27 to 1,373,960,1190,9%,,435,
2023,331,#331-#440,USNews,Southern Illinois University Edwardsville,Southern Illinois University Edwardsville,IL,public,,Bottom 25%,2.2,336,77%,61%,49%,-12,36%,403,182,54%,4%,14,14 to 1,367,920,1160,19%,,179,2%
2023,263,263,USNews,Southern Illinois University--Carbondale,Southern Illinois University--Carbondale,IL,public,45,45,2.4,374,76%,54%,45%,-9,32%,270,100,64%,5%,10,10 to 1,242,940,1190,16%,,37,4%
2023,72,72,USNews,Southern Methodist University,Southern Methodist University,TX,private,65,65,3.2,86,91%,85%,82%,-3,78%,425,56,55%,10%,12,12 to 1,55,31,34,52%,,70,10%
2023,331,#331-#440,USNews,Southern University and A&M College,Southern University and A&M College,LA,public,,Bottom 25%,2.3,427,63%,34%,32%,-2,29%,168,339,54%,2%,20,20 to 1,394,18,20,7%,,367,20%
2023,202,202,USNews,Springfield College,Springfield College,MA,private,50,50,2.2,124,84%,64%,73%,9,64%,263,182,56%,2%,11,11 to 1,,1110,1320,17%,,274,10%
2023,263,263,USNews,St. Ambrose University,St. Ambrose University,IA,private,45,45,2.1,217,79%,63%,64%,1,53%,313,100,63%,0.20%,12,12 to 1,320,20,27,,,334,6%
2023,234,234,USNews,St. Catherine University,St. Catherine University,MN,private,47,47,2.1,232,79%,59%,60%,1,53%,53,165,75%,1%,9,9 to 1,195,19,26,28%,,248,7%
2023,202,202,USNews,St. John Fisher College,St. John Fisher College,NY,private,50,50,2.2,124,88%,67%,73%,6,61%,178,267,41%,2%,11,11 to 1,217,1110,1270,19%,,248,4%
2023,166,166,USNews,St. John's University (NY),St. John's University (NY),NY,private,54,54,2.9,210,83%,60%,68%,8,63%,41,231,38%,3%,16,16 to 1,180,1100,1310,19%,,286,4%
2023,331,#331-#440,USNews,St. Thomas University,St. Thomas University,FL,private,,Bottom 25%,2.1,416,62%,48%,41%,-7,36%,242,113,63%,0%,11,11 to 1,398,865,1065,,,417,9%
2023,3,3,USNews,Stanford University,Stanford University,CA,private,96,96,4.9,11,96%,95%,96%,1,92%,282,4,68%,12%,5,5 to 1,3,1470,1570,96%,,4,21%
2023,83,83,USNews,Stevens Institute of Technology,Stevens Institute of Technology,NJ,private,63,63,3,41,94%,85%,87%,2,81%,303,113,38%,13%,12,12 to 1,46,1370,1510,63%,,132,13%
2023,182,182,USNews,Stockton University,Stockton University,NJ,public,52,52,2.2,124,83%,59%,76%,17,73%,75,267,30%,1%,17,17 to 1,284,1050,1250,16%,,311,1%
2023,77,77,USNews,Stony Brook University--SUNY,Stony Brook University,NY,public,64,64,3.4,103,90%,70%,78%,8,77%,38,286,38%,23%,19,19 to 1,71,1300,1480,44%,,95,4%
2023,234,234,USNews,Suffolk University,Suffolk University,MA,private,47,47,2.3,280,76%,61%,60%,-1,60%,95,165,38%,0.40%,13,13 to 1,299,1080,1280,13%,,141,3%
2023,105,105,USNews,SUNY College of Environmental Science and Forestry,SUNY College of Environmental Science and Forestry,NY,public,60,60,2.6,119,83%,71%,75%,4,69%,186,53,69%,6%,14,14 to 1,173,1130,1300,,,77,13%
2023,62,62,USNews,Syracuse University,Syracuse University,NY,private,67,67,3.5,73,91%,77%,82%,5,78%,197,56,64%,9%,14,14 to 1,107,1220,1400,33%,,77,9%
2023,331,#331-#440,USNews,Tarleton State University,Tarleton State University,TX,public,,Bottom 25%,2,381,68%,52%,49%,-3,45%,140,412,34%,8%,21,21 to 1,351,970,1140,10%,,406,2%
2023,121,121,USNews,Temple University,Temple University,PA,public,58,58,3,119,88%,66%,75%,9,66%,154,146,43%,6%,13,13 to 1,203,1110,1340,,,152,4%
2023,331,#331-#440,USNews,Tennessee State University,Tennessee State University,TN,public,,Bottom 25%,2.3,427,61%,35%,31%,-4,28%,99,314,44%,1%,14,14 to 1,396,16,21,15%,,265,5%
2023,285,285,USNews,Tennessee Tech University,Tennessee Tech University,TN,public,44,44,2.3,300,76%,63%,60%,-3,52%,168,267,49%,10%,18,18 to 1,152,21,28,33%,,367,5%
2023,67,67,USNews,Texas A&M University,Texas A&M University,TX,public,66,66,3.7,66,93%,80%,83%,3,76%,209,355,25%,28%,19,19 to 1,68,1140,1380,60%,,95,15%
2023,331,#331-#440,USNews,Texas A&M University--Commerce,Texas A&M University--Commerce,TX,public,,Bottom 25%,2.3,410,61%,46%,45%,-1,39%,105,300,45%,3%,18,18 to 1,339,930,1150,16%,,406,2%
2023,331,#331-#440,USNews,Texas A&M University--Corpus Christi,Texas A&M University--Corpus Christi,TX,public,,Bottom 25%,2.3,424,58%,51%,36%,-15,36%,115,407,27%,14%,17,17 to 1,326,970,1180,16%,,286,1%
2023,331,#331-#440,USNews,Texas A&M University--Kingsville,Texas A&M University--Kingsville,TX,public,,Bottom 25%,2.1,405,68%,45%,43%,-2,40%,75,286,40%,4%,17,17 to 1,373,900,1120,15%,,323,2%
2023,89,89,USNews,Texas Christian University,Texas Christian University,TX,private,62,62,3,73,92%,82%,83%,1,79%,421,113,41%,7%,14,14 to 1,91,26,31,40%,,85,10%
2023,331,#331-#440,USNews,Texas Southern University,Texas Southern University,TX,public,,Bottom 25%,2.2,434,57%,33%,23%,-10,21%,326,364,42%,7%,15,15 to 1,410,820,1000,5%,,226,6%
2023,331,#331-#440,USNews,Texas State University,Texas State University,TX,public,,Bottom 25%,2.3,300,77%,55%,57%,2,51%,123,374,36%,13%,21,21 to 1,311,990,1180,14%,,412,1%
2023,219,219,USNews,Texas Tech University,Texas Tech University,TX,public,48,48,2.9,217,86%,66%,63%,-3,55%,313,355,30%,20%,21,21 to 1,180,1110,1280,25%,,334,8%
2023,331,#331-#440,USNews,Texas Wesleyan University,Texas Wesleyan University,TX,private,,Bottom 25%,2.1,426,56%,53%,34%,-19,,105,146,70%,0.20%,12,12 to 1,336,1008,1160,,,219,5%
2023,331,#331-#440,USNews,Texas Woman's University,Texas Woman's University,TX,public,,Bottom 25%,2.3,381,74%,49%,48%,-1,43%,63,429,23%,15%,17,17 to 1,339,950,1160,20%,,388,2%
2023,176,176,USNews,The Catholic University of America,The Catholic University of America,DC,private,53,53,2.9,124,87%,78%,71%,-7,54%,429,182,63%,4%,10,10 to 1,137,1160,1350,26%,,85,9%
2023,234,234,USNews,The College of St. Scholastica,The College of St. Scholastica,MN,private,47,47,2,178,82%,65%,65%,,61%,154,146,67%,1%,10,10 to 1,251,22,27,24%,,298,4%
2023,299,299,USNews,The Master's University and Seminary ,The Master's University and Seminary ,CA,private,43,43,1.8,200,85%,70%,63%,-7,62%,282,339,72%,7%,14,14 to 1,190,1040,1340,40%,,274,6%
2023,127,127,USNews,The New School,The New School,NY,private,57,57,2.9,161,80%,68%,70%,2,63%,186,70,91%,2%,12,12 to 1,,1140,1360,15%,,101,1%
2023,49,49,USNews,The Ohio State University,Ohio State University (Main campus),OH,public,71,71,3.9,48,94%,85%,88%,3,81%,303,125,34%,17%,18,18 to 1,55,26,32,64%,,77,12%
2023,77,77,USNews,The Pennsylvania State University,The Pennsylvania State University,PA,public,64,64,3.7,92,92%,80%,73%,-7,79%,403,247,31%,17%,15,15 to 1,160,1200,1400,,,55,11%
2023,331,#331-#440,USNews,The University of Akron,The University of Akron,OH,public,,Bottom 25%,2.4,347,72%,56%,54%,-2,42%,384,267,48%,5%,17,17 to 1,260,18,26,18%,,323,2%
2023,299,299,USNews,The University of Texas at Arlington,The University of Texas at Arlington,TX,public,43,43,2.8,336,74%,59%,51%,-8,49%,41,395,34%,26%,24,24 to 1,260,1000,1220,26%,,358,1%
2023,151,151,USNews,The University of Texas at Dallas,The University of Texas at Dallas,TX,public,55,55,2.9,136,89%,69%,74%,5,73%,90,364,22%,27%,24,24 to 1,91,1170,1420,35%,,311,3%
2023,331,#331-#440,USNews,The University of Texas at El Paso,The University of Texas at El Paso,TX,public,,Bottom 25%,2.6,393,74%,44%,45%,1,41%,75,388,33%,17%,19,19 to 1,391,880,1090,17%,,358,3%
2023,331,#331-#440,USNews,The University of Texas at Tyler,The University of Texas at Tyler,TX,public,,Bottom 25%,2.2,405,65%,58%,42%,-16,36%,282,339,44%,8%,17,17 to 1,260,1040,1250,11%,,226,3%
2023,127,127,USNews,Thomas Jefferson University,Thomas Jefferson University,PA,private,57,57,2.6,171,83%,73%,71%,-2,65%,132,91,60%,3%,13,13 to 1,180,1130,1325,26%,,26,2%
2023,182,182,USNews,Touro University,Touro University,NY,private,52,52,1.9,232,85%,54%,70%,16,66%,160,77,82%,1%,10,10 to 1,,1193,1400,,,167,11%
2023,331,#331-#440,USNews,Trevecca Nazarene University,Trevecca Nazarene University,TN,private,,Bottom 25%,1.8,309,75%,55%,53%,-2,52%,59,286,75%,3%,19,19 to 1,242,18,25,27%,,388,4%
2023,331,#331-#440,USNews,Trinity International University,Trinity International University,IL,private,,Bottom 25%,1.9,358,63%,56%,53%,-3,,23,430,,,8,8 to 1,383,910,1100,,,265,
2023,32,32,USNews,Tufts University,Tufts University,MA,private,77,77,3.8,17,95%,96%,94%,-2,95%,339,42,63%,8%,10,10 to 1,21,1440,1550,82%,,32,18%
2023,44,44,USNews,Tulane University,Tulane University,LA,private,72,72,3.6,48,93%,89%,86%,-3,77%,432,35,61%,8%,8,8 to 1,43,30,33,54%,,26,15%
2023,194,194,USNews,Union University,Union University,TN,private,51,51,2,161,86%,70%,68%,-2,60%,197,42,77%,0.20%,8,8 to 1,107,23,30,36%,,298,3%
2023,331,#331-#440,USNews,Universidad Ana G. Mendez--Gurabo Campus,Universidad Ana G. Mendez--Gurabo Campus,PR,private,,Bottom 25%,2,427,77%,18%,30%,12,,132,438,,,27,27 to 1,,,,,,440,
2023,182,182,USNews,University at Albany--SUNY,SUNY University at Albany,NY,public,52,52,2.8,210,82%,57%,66%,9,63%,38,380,25%,20%,19,19 to 1,195,1090,1280,18%,,198,6%
2023,89,89,USNews,University at Buffalo--SUNY,University at Buffalo,NY,public,62,62,3.2,119,86%,66%,74%,8,68%,69,182,34%,17%,13,13 to 1,140,1180,1360,28%,,152,8%
2023,137,137,USNews,University of Alabama,University of Alabama,AL,public,56,56,3.2,136,88%,77%,72%,-5,55%,435,198,46%,17%,19,19 to 1,104,21,31,41%,,286,19%
2023,137,137,USNews,University of Alabama at Birmingham,University of Alabama at Birmingham,AL,public,56,56,3,226,84%,64%,62%,-2,51%,197,146,46%,15%,19,19 to 1,131,23,30,30%,,44,5%
2023,263,263,USNews,University of Alabama at Huntsville,University of Alabama in Huntsville,AL,public,45,45,2.5,266,82%,70%,61%,-9,48%,372,339,36%,13%,19,19 to 1,91,24,31,34%,,198,1%
2023,331,#331-#440,USNews,University of Alaska--Fairbanks,University of Alaska Fairbanks,AK,public,,Bottom 25%,2.6,393,75%,63%,41%,-22,,435,395,,,11,11 to 1,351,18,26,,,29,
2023,105,105,USNews,University of Arizona,University of Arizona,AZ,public,60,60,3.6,210,83%,68%,64%,-4,59%,209,165,35%,16%,17,17 to 1,114,21,29,39%,,77,6%
2023,176,176,USNews,University of Arkansas,University of Arkansas,AR,public,53,53,3,171,85%,72%,70%,-2,55%,421,247,38%,16%,19,19 to 1,166,21,28,25%,,187,16%
2023,331,#331-#440,USNews,University of Arkansas at Little Rock,University of Arkansas at Little Rock,AR,public,,Bottom 25%,2.4,416,68%,52%,37%,-15,29%,197,364,,,13,13 to 1,284,19,25,,,286,
2023,331,#331-#440,USNews,University of Bridgeport,University of Bridgeport,CT,private,,Bottom 25%,2,402,68%,45%,42%,-3,,82,420,,,16,16 to 1,401,920,1130,,,323,
2023,20,20,USNews,"University of California, Berkeley","University of California, Berkeley",CA,public,83,83,4.7,24,97%,91%,93%,2,89%,105,53,51%,20%,20,20 to 1,24,1290,1530,96%,,47,7%
2023,38,38,USNews,"University of California, Davis","University of California, Davis",CA,public,74,74,3.9,48,92%,84%,87%,3,85%,27,216,31%,33%,21,21 to 1,48,1140,1400,100%,,35,5%
2023,34,34,USNews,"University of California, Irvine","University of California, Irvine",CA,public,76,76,3.8,57,94%,81%,84%,3,82%,7,42,55%,21%,18,18 to 1,33,1215,1450,99%,,55,5%
2023,20,20,USNews,"University of California, Los Angeles","University of California, Los Angeles",CA,public,83,83,4.4,25,97%,88%,92%,4,88%,46,28,48%,23%,18,18 to 1,84,1290,1520,,,17,5%
2023,97,97,USNews,"University of California, Merced","University of California, Merced",CA,public,61,61,2.9,171,83%,50%,72%,22,69%,5,314,26%,28%,19,19 to 1,361,940,1140,,,101,5%
2023,89,89,USNews,"University of California, Riverside","University of California, Riverside",CA,public,62,62,3.1,103,90%,73%,76%,3,75%,2,314,24%,34%,24,24 to 1,71,1060,1290,94%,,132,2%
2023,34,34,USNews,"University of California, San Diego","University of California, San Diego",CA,public,76,76,3.9,41,94%,86%,89%,3,88%,53,61,47%,24%,19,19 to 1,30,1260,1480,100%,,25,2%
2023,32,32,USNews,"University of California, Santa Barbara","University of California, Santa Barbara",CA,public,77,77,3.6,66,92%,84%,85%,1,83%,15,17,56%,20%,17,17 to 1,30,1230,1480,100%,,53,15%
2023,83,83,USNews,"University of California, Santa Cruz","University of California, Santa Cruz",CA,public,63,63,3.3,110,88%,84%,78%,-6,78%,18,216,26%,25%,23,23 to 1,58,1150,1370,94%,,121,2%
2023,331,#331-#440,USNews,University of Central Arkansas,University of Central Arkansas,AR,public,,Bottom 25%,2.2,381,75%,56%,49%,-7,39%,228,231,51%,1%,15,15 to 1,203,20,26,23%,,417,6%
2023,137,137,USNews,University of Central Florida,University of Central Florida,FL,public,56,56,3,110,91%,67%,75%,8,72%,59,388,29%,24%,30,30 to 1,104,1170,1350,35%,,380,6%
2023,331,#331-#440,USNews,University of Charleston,University of Charleston,WV,private,,Bottom 25%,2.2,393,68%,52%,43%,-9,36%,270,300,66%,0%,14,14 to 1,326,19,23,,,380,3%
2023,6,6,USNews,University of Chicago,University of Chicago,IL,private,95,95,4.7,2,99%,97%,96%,-1,93%,372,1,78%,6%,5,5 to 1,1,1510,1580,99%,,10,28%
2023,151,151,USNews,University of Cincinnati,University of Cincinnati – Uptown,OH,public,55,55,3,144,87%,69%,73%,4,63%,339,355,34%,21%,19,19 to 1,114,24,29,21%,,179,6%
2023,97,97,USNews,University of Colorado Boulder,University of Colorado Boulder,CO,public,61,61,3.7,144,87%,75%,74%,-1,66%,384,216,45%,16%,17,17 to 1,124,1170,1390,26%,,85,5%
2023,331,#331-#440,USNews,University of Colorado Colorado Springs,University of Colorado Colorado Springs,CO,public,,Bottom 25%,2.6,389,69%,60%,44%,-16,40%,296,364,43%,5%,16,16 to 1,284,990,1200,13%,,334,2%
2023,219,219,USNews,University of Colorado Denver,University of Colorado Denver/Anschutz Medical Campus,CO,public,48,48,2.9,369,72%,63%,48%,-15,48%,59,314,42%,6%,17,17 to 1,251,1030,1260,26%,,37,2%
2023,67,67,USNews,University of Connecticut,University of Connecticut,CT,public,66,66,3.4,57,93%,80%,83%,3,79%,282,100,55%,15%,15,15 to 1,71,1230,1430,43%,,70,7%
2023,127,127,USNews,University of Dayton,University of Dayton,OH,private,57,57,2.8,86,90%,77%,80%,3,68%,421,182,38%,2%,15,15 to 1,211,22,29,24%,,132,12%
2023,89,89,USNews,University of Delaware,University of Delaware,DE,public,62,62,3.3,66,91%,78%,84%,6,74%,418,182,35%,16%,12,12 to 1,107,1170,1350,32%,,85,6%
2023,105,105,USNews,University of Denver,University of Denver,CO,private,60,60,3.1,110,85%,81%,76%,-5,71%,313,100,57%,7%,10,10 to 1,79,27,31,36%,,85,6%
2023,202,202,USNews,University of Detroit Mercy,University of Detroit Mercy,MI,private,50,50,2.2,178,84%,63%,67%,4,55%,209,125,49%,4%,11,11 to 1,180,1060,1250,26%,,141,5%
2023,317,317,USNews,University of Findlay,University of Findlay,OH,private,42,42,1.9,226,81%,72%,62%,-10,53%,313,146,66%,1%,13,13 to 1,229,19,26,29%,,298,8%
2023,29,29,USNews,University of Florida,University of Florida,FL,public,78,78,3.8,32,97%,83%,91%,8,89%,75,42,55%,10%,17,17 to 1,33,1300,1470,83%,,47,19%
2023,49,49,USNews,University of Georgia,University of Georgia,GA,public,71,71,3.7,41,95%,82%,88%,6,83%,250,61,47%,11%,17,17 to 1,52,1270,1450,59%,,121,14%
2023,234,234,USNews,University of Hartford,University of Hartford,CT,private,47,47,2.4,256,77%,61%,66%,5,51%,296,77,77%,0.10%,8,8 to 1,279,1080,1270,,,226,3%
2023,285,285,USNews,University of Hawaii at Hilo,University of Hawaii at Hilo,HI,public,44,44,2.6,402,70%,55%,43%,-12,37%,56,84,61%,0%,13,13 to 1,344,16,22,20%,,141,
2023,166,166,USNews,University of Hawaii at Manoa,University of Hawai’i at M?noa,HI,public,54,54,2.9,246,80%,66%,59%,-7,56%,178,165,45%,14%,13,13 to 1,180,1060,1260,27%,,55,4%
2023,182,182,USNews,University of Houston,University of Houston,TX,public,52,52,2.9,226,85%,61%,62%,1,60%,45,355,26%,23%,21,21 to 1,131,1140,1330,30%,,274,5%
